WarehouseCode,ProductCode,QuantityOnHand,QuantityAllocated,ReorderPoint,ReorderQuantity
DEN,SAF-0016,406,7,83,25
LAX,SAF-0016,293,3,83,25
MIA,SAF-0016,476,17,83,25
PHX,SAF-0016,314,3,83,25
SEA,SAF-0016,463,17,83,25
ATL,FAS-0017,374,8,25,50
CHI,FAS-0017,341,8,25,50
DAL,FAS-0017,119,1,25,50
DEN,FAS-0017,416,15,25,50
LAX,FAS-0017,357,2,25,50
MIA,FAS-0017,130,18,25,50
PHX,FAS-0017,343,11,25,50
SEA,FAS-0017,305,4,25,50
ATL,HVA-0026,304,8,103,100
CHI,HVA-0026,251,8,103,100
DAL,HVA-0026,117,16,103,100
DEN,HVA-0026,306,2,103,100
LAX,HVA-0026,476,17,103,100
MIA,HVA-0026,356,5,103,100
PHX,HVA-0026,170,2,103,100
SEA,HVA-0026,441,13,103,100
ATL,HVA-0027,318,16,68,75
CHI,HVA-0027,129,2,68,75
DAL,HVA-0027,448,17,68,75
DEN,HVA-0027,251,19,68,75
LAX,HVA-0027,113,3,68,75
MIA,HVA-0027,247,3,68,75
PHX,HVA-0027,309,19,68,75
SEA,HVA-0027,411,10,68,75
ATL,PWR-0014,481,5,122,75
CHI,PWR-0014,393,6,122,75
DAL,PWR-0014,100,2,122,75
DEN,PWR-0014,483,20,122,75
LAX,PWR-0014,495,16,122,75
MIA,PWR-0014,458,11,122,75
PHX,PWR-0014,416,13,122,75
SEA,PWR-0014,414,6,122,75
ATL,HVA-0028,184,18,34,50
CHI,HVA-0028,162,16,34,50
DAL,HVA-0028,386,7,34,50
DEN,HVA-0028,443,14,34,50
LAX,HVA-0028,204,2,34,50
MIA,HVA-0028,376,17,34,50
PHX,HVA-0028,340,17,34,50
SEA,HVA-0028,213,0,34,50
ATL,ELE-0023,116,18,161,75
CHI,ELE-0023,155,0,161,75
DAL,ELE-0023,303,0,161,75
DEN,ELE-0023,347,0,161,75
LAX,ELE-0023,225,11,161,75
MIA,ELE-0023,486,6,161,75
PHX,ELE-0023,283,4,161,75
SEA,ELE-0023,477,8,161,75
ATL,FAS-0018,207,1,111,75
CHI,FAS-0018,330,6,111,75
DAL,FAS-0018,362,3,111,75
DEN,FAS-0018,469,13,111,75
LAX,FAS-0018,388,12,111,75
MIA,FAS-0018,286,5,111,75
PHX,FAS-0018,405,11,111,75
SEA,FAS-0018,340,14,111,75
ATL,SAF-0017,153,16,188,250
CHI,SAF-0017,486,0,188,250
DAL,SAF-0017,211,16,188,250
DEN,SAF-0017,331,5,188,250
LAX,SAF-0017,475,1,188,250
MIA,SAF-0017,294,1,188,250
PHX,SAF-0017,301,18,188,250
SEA,SAF-0017,245,16,188,250
