OrderNumber,OrderDate,CustomerCode
SO0001745,2025-08-15,CUST00414
SO0001746,2024-08-06,CUST00346
SO0001747,2023-06-01,CUST00435
SO0001748,2021-03-23,CUST00435
SO0001749,2021-10-16,CUST00172
SO0001750,2023-06-17,CUST00276
SO0001751,2022-02-05,CUST00054
SO0001752,2025-04-24,CUST00437
SO0001753,2025-07-02,CUST00165
SO0001754,2022-12-27,CUST00034
SO0001755,2021-01-07,CUST00113
SO0001756,2021-10-14,CUST00060
SO0001757,2025-05-24,CUST00239
SO0001758,2024-08-10,CUST00463
SO0001759,2025-07-21,CUST00467
SO0001760,2025-05-16,CUST00279
SO0001761,2023-02-08,CUST00063
SO0001762,2025-02-17,CUST00163
SO0001763,2022-10-12,CUST00484
SO0001764,2023-12-04,CUST00125
SO0001765,2025-03-15,CUST00387
SO0001766,2025-11-21,CUST00087
SO0001767,2022-12-28,CUST00274
SO0001768,2025-01-21,CUST00136
SO0001769,2021-04-21,CUST00336
SO0001770,2023-07-06,CUST00133
SO0001771,2021-06-10,CUST00411
SO0001772,2022-12-06,CUST00051
SO0001773,2023-10-17,CUST00191
SO0001774,2022-02-20,CUST00452
SO0001775,2024-12-01,CUST00193
SO0001776,2022-08-10,CUST00080
SO0001777,2022-10-24,CUST00017
SO0001778,2022-09-27,CUST00041
SO0001779,2024-01-18,CUST00300
SO0001780,2025-07-16,CUST00004
SO0001781,2025-10-04,CUST00204
SO0001782,2025-03-30,CUST00306
SO0001783,2023-07-22,CUST00297
SO0001784,2025-01-19,CUST00187
SO0001785,2024-02-17,CUST00122
SO0001786,2024-07-08,CUST00287
SO0001787,2023-03-15,CUST00052
SO0001788,2022-06-19,CUST00446
SO0001789,2021-01-03,CUST00169
SO0001790,2021-06-04,CUST00231
SO0001791,2022-04-16,CUST00225
SO0001792,2021-07-23,CUST00247
SO0001793,2024-01-12,CUST00363
SO0001794,2021-06-06,CUST00300
SO0001795,2025-04-11,CUST00185
SO0001796,2022-01-24,CUST00091
SO0001797,2025-01-24,CUST00373
SO0001798,2024-04-30,CUST00108
SO0001799,2021-07-14,CUST00222
SO0001800,2021-02-05,CUST00316
SO0001801,2023-11-30,CUST00483
SO0001802,2025-03-15,CUST00439
SO0001803,2022-06-18,CUST00230
SO0001804,2024-01-25,CUST00371
SO0001805,2024-05-22,CUST00168
SO0001806,2022-06-08,CUST00030
SO0001807,2021-03-25,CUST00055
SO0001808,2023-12-05,CUST00090
SO0001809,2023-11-16,CUST00259
SO0001810,2023-01-04,CUST00197
SO0001811,2023-03-10,CUST00291
SO0001812,2021-08-13,CUST00229
SO0001813,2024-12-31,CUST00327
SO0001814,2021-06-28,CUST00005
SO0001815,2021-08-10,CUST00388
SO0001816,2025-07-02,CUST00200
SO0001817,2024-06-07,CUST00402
SO0001818,2021-03-27,CUST00189
SO0001819,2022-02-22,CUST00474
SO0001820,2023-08-15,CUST00233
SO0001821,2021-10-14,CUST00138
SO0001822,2025-11-16,CUST00245
SO0001823,2024-03-05,CUST00349
SO0001824,2023-02-13,CUST00253
SO0001825,2021-10-18,CUST00071
SO0001826,2021-03-22,CUST00108
SO0001827,2024-07-04,CUST00078
SO0001828,2024-09-15,CUST00136
SO0001829,2021-01-18,CUST00272
SO0001830,2021-06-15,CUST00041
SO0001831,2024-05-15,CUST00035
SO0001832,2022-09-14,CUST00371
SO0001833,2021-12-14,CUST00149
SO0001834,2021-01-06,CUST00447
SO0001835,2025-08-15,CUST00215
SO0001836,2021-08-28,CUST00462
SO0001837,2022-01-25,CUST00229
SO0001838,2021-11-16,CUST00118
SO0001839,2023-09-22,CUST00363
SO0001840,2022-03-20,CUST00283
SO0001841,2023-11-24,CUST00196
SO0001842,2024-11-11,CUST00100
SO0001843,2025-08-23,CUST00112
SO0001844,2022-06-05,CUST00162
SO0001845,2024-12-14,CUST00447
SO0001846,2024-06-27,CUST00023
SO0001847,2022-10-30,CUST00355
SO0001848,2021-08-26,CUST00404
SO0001849,2022-05-16,CUST00463
SO0001850,2024-09-21,CUST00446
SO0001851,2021-04-17,CUST00325
SO0001852,2024-05-18,CUST00212
SO0001853,2022-03-24,CUST00402
SO0001854,2025-04-28,CUST00378
SO0001855,2025-05-18,CUST00362
SO0001856,2025-12-06,CUST00255
SO0001857,2022-07-15,CUST00002
SO0001858,2024-01-30,CUST00327
SO0001859,2023-12-26,CUST00093
SO0001860,2022-11-02,CUST00012
SO0001861,2025-12-18,CUST00457
SO0001862,2022-01-08,CUST00068
SO0001863,2022-09-19,CUST00370
SO0001864,2025-08-13,CUST00257
SO0001865,2023-07-20,CUST00110
SO0001866,2025-06-25,CUST00380
SO0001867,2024-09-21,CUST00462
SO0001868,2024-05-04,CUST00353
SO0001869,2021-02-25,CUST00436
SO0001870,2023-10-11,CUST00445
SO0001871,2025-01-14,CUST00400
SO0001872,2023-07-15,CUST00392
SO0001873,2021-11-05,CUST00221
SO0001874,2025-01-17,CUST00257
SO0001875,2022-03-24,CUST00175
SO0001876,2021-05-31,CUST00093
SO0001877,2021-09-18,CUST00181
SO0001878,2025-08-23,CUST00226
SO0001879,2021-12-18,CUST00097
SO0001880,2023-07-19,CUST00081
SO0001881,2022-02-21,CUST00410
SO0001882,2022-11-28,CUST00360
SO0001883,2025-09-14,CUST00237
SO0001884,2022-12-02,CUST00103
SO0001885,2024-11-03,CUST00315
SO0001886,2024-02-09,CUST00135
SO0001887,2023-10-13,CUST00105
SO0001888,2021-12-09,CUST00402
SO0001889,2021-03-08,CUST00472
SO0001890,2023-03-12,CUST00466
SO0001891,2025-05-05,CUST00215
SO0001892,2024-08-14,CUST00262
SO0001893,2023-03-09,CUST00149
SO0001894,2023-11-24,CUST00394
SO0001895,2022-01-21,CUST00391
SO0001896,2024-04-13,CUST00190
SO0001897,2022-04-21,CUST00210
SO0001898,2023-06-26,CUST00262
SO0001899,2024-05-28,CUST00094
SO0001900,2025-05-25,CUST00214
SO0001901,2023-08-15,CUST00052
SO0001902,2025-05-06,CUST00304
SO0001903,2023-07-11,CUST00364
SO0001904,2024-03-06,CUST00009
SO0001905,2025-02-07,CUST00109
SO0001906,2023-01-06,CUST00406
SO0001907,2021-02-05,CUST00403
SO0001908,2025-03-07,CUST00155
SO0001909,2021-10-01,CUST00066
SO0001910,2021-08-16,CUST00282
SO0001911,2024-07-18,CUST00080
SO0001912,2025-04-10,CUST00422
SO0001913,2023-03-30,CUST00287
SO0001914,2023-09-12,CUST00414
SO0001915,2022-11-25,CUST00141
SO0001916,2023-08-22,CUST00039
SO0001917,2024-10-31,CUST00468
SO0001918,2023-05-23,CUST00318
SO0001919,2022-08-17,CUST00371
SO0001920,2023-02-15,CUST00419
SO0001921,2024-03-12,CUST00208
SO0001922,2024-06-27,CUST00498
SO0001923,2024-05-29,CUST00401
SO0001924,2025-02-09,CUST00442
SO0001925,2025-05-07,CUST00075
SO0001926,2024-12-20,CUST00437
SO0001927,2023-12-06,CUST00173
SO0001928,2024-11-03,CUST00126
SO0001929,2025-07-18,CUST00422
SO0001930,2025-03-19,CUST00294
SO0001931,2021-03-08,CUST00346
SO0001932,2023-10-25,CUST00351
SO0001933,2023-09-16,CUST00431
SO0001934,2022-02-27,CUST00249
SO0001935,2021-01-06,CUST00104
SO0001936,2025-04-03,CUST00385
SO0001937,2025-06-08,CUST00329
SO0001938,2024-05-12,CUST00281
SO0001939,2021-10-13,CUST00381
SO0001940,2024-11-23,CUST00462
SO0001941,2023-04-12,CUST00397
SO0001942,2021-02-04,CUST00328
SO0001943,2023-12-24,CUST00009
SO0001944,2023-08-19,CUST00409
SO0001945,2025-12-02,CUST00335
SO0001946,2023-11-20,CUST00290
SO0001947,2021-05-23,CUST00169
SO0001948,2023-02-18,CUST00070
SO0001949,2021-02-22,CUST00178
SO0001950,2022-04-02,CUST00152
SO0001951,2021-07-23,CUST00452
SO0001952,2025-12-20,CUST00225
SO0001953,2025-09-18,CUST00050
SO0001954,2025-09-22,CUST00135
SO0001955,2023-02-09,CUST00300
SO0001956,2023-05-06,CUST00093
SO0001957,2022-01-09,CUST00427
SO0001958,2023-08-18,CUST00263
SO0001959,2024-07-17,CUST00015
SO0001960,2022-03-11,CUST00491
SO0001961,2023-06-15,CUST00119
SO0001962,2025-01-14,CUST00225
SO0001963,2025-06-13,CUST00361
SO0001964,2023-11-09,CUST00094
SO0001965,2021-12-13,CUST00098
SO0001966,2024-03-10,CUST00238
SO0001967,2024-05-30,CUST00101
SO0001968,2025-10-22,CUST00464
SO0001969,2022-06-17,CUST00470
SO0001970,2025-10-11,CUST00030
SO0001971,2023-07-05,CUST00459
SO0001972,2022-03-24,CUST00190
SO0001973,2024-05-25,CUST00257
SO0001974,2025-09-28,CUST00445
SO0001975,2024-04-13,CUST00185
SO0001976,2023-04-02,CUST00071
SO0001977,2021-06-26,CUST00168
SO0001978,2024-10-25,CUST00010
SO0001979,2021-06-22,CUST00295
SO0001980,2025-12-03,CUST00498
SO0001981,2022-02-26,CUST00023
SO0001982,2021-09-18,CUST00009
SO0001983,2023-03-17,CUST00368
SO0001984,2021-05-30,CUST00161
SO0001985,2025-10-20,CUST00364
SO0001986,2025-10-20,CUST00009
SO0001987,2025-09-10,CUST00314
SO0001988,2022-03-14,CUST00147
SO0001989,2024-01-26,CUST00129
SO0001990,2025-03-29,CUST00098
SO0001991,2024-01-11,CUST00372
SO0001992,2022-01-06,CUST00087
SO0001993,2023-11-03,CUST00335
SO0001994,2023-07-12,CUST00128
SO0001995,2024-08-30,CUST00013
SO0001996,2021-06-15,CUST00366
SO0001997,2021-09-13,CUST00090
SO0001998,2024-10-19,CUST00239
SO0001999,2022-06-23,CUST00217
SO0002000,2022-01-25,CUST00004
SO0002001,2023-11-08,CUST00469
SO0002002,2021-07-26,CUST00303
SO0002003,2024-12-04,CUST00088
SO0002004,2022-06-16,CUST00237
SO0002005,2025-01-05,CUST00232
SO0002006,2025-04-10,CUST00057
SO0002007,2021-10-06,CUST00476
SO0002008,2024-06-20,CUST00420
SO0002009,2024-02-15,CUST00361
SO0002010,2022-03-14,CUST00094
SO0002011,2021-02-19,CUST00335
SO0002012,2021-11-13,CUST00202
SO0002013,2021-05-27,CUST00171
SO0002014,2022-09-16,CUST00046
SO0002015,2024-06-18,CUST00175
SO0002016,2024-01-13,CUST00337
SO0002017,2024-03-12,CUST00498
SO0002018,2022-06-07,CUST00271
SO0002019,2021-12-31,CUST00047
SO0002020,2022-04-09,CUST00137
SO0002021,2022-10-14,CUST00296
SO0002022,2023-03-04,CUST00234
SO0002023,2021-05-28,CUST00379
SO0002024,2022-12-15,CUST00267
SO0002025,2024-01-12,CUST00358
SO0002026,2023-07-09,CUST00402
SO0002027,2025-11-16,CUST00424
SO0002028,2022-04-13,CUST00434
SO0002029,2023-09-12,CUST00190
SO0002030,2025-09-17,CUST00435
SO0002031,2021-06-20,CUST00264
SO0002032,2023-03-06,CUST00135
SO0002033,2021-07-31,CUST00004
SO0002034,2021-04-26,CUST00126
SO0002035,2022-11-17,CUST00282
SO0002036,2022-08-17,CUST00019
SO0002037,2025-07-16,CUST00099
SO0002038,2023-11-21,CUST00091
SO0002039,2024-10-31,CUST00342
SO0002040,2022-08-11,CUST00258
SO0002041,2021-06-23,CUST00115
SO0002042,2024-11-01,CUST00055
SO0002043,2023-10-16,CUST00242
SO0002044,2024-08-20,CUST00166
SO0002045,2024-03-23,CUST00485
SO0002046,2023-03-19,CUST00296
SO0002047,2023-11-08,CUST00489
SO0002048,2024-09-09,CUST00121
SO0002049,2025-06-01,CUST00376
SO0002050,2024-12-28,CUST00083
SO0002051,2022-06-15,CUST00001
SO0002052,2023-09-04,CUST00003
SO0002053,2021-02-21,CUST00288
SO0002054,2021-02-17,CUST00306
SO0002055,2021-04-29,CUST00078
SO0002056,2022-04-20,CUST00377
SO0002057,2021-11-03,CUST00289
SO0002058,2021-02-11,CUST00327
SO0002059,2023-10-19,CUST00323
SO0002060,2023-08-06,CUST00303
SO0002061,2023-03-03,CUST00085
SO0002062,2023-10-22,CUST00263
SO0002063,2021-09-24,CUST00046
SO0002064,2021-05-17,CUST00272
SO0002065,2023-04-03,CUST00446
SO0002066,2025-07-10,CUST00467
SO0002067,2025-09-24,CUST00418
SO0002068,2024-09-29,CUST00132
SO0002069,2024-06-12,CUST00343
SO0002070,2023-01-05,CUST00168
SO0002071,2025-07-09,CUST00157
SO0002072,2021-11-16,CUST00319
SO0002073,2021-05-12,CUST00043
SO0002074,2023-11-24,CUST00428
SO0002075,2021-02-04,CUST00015
SO0002076,2025-06-12,CUST00389
SO0002077,2024-01-25,CUST00074
SO0002078,2022-03-08,CUST00398
SO0002079,2021-11-11,CUST00245
SO0002080,2021-04-26,CUST00471
SO0002081,2022-07-17,CUST00278
SO0002082,2022-01-27,CUST00493
SO0002083,2021-06-21,CUST00450
SO0002084,2022-12-22,CUST00089
SO0002085,2024-10-04,CUST00323
SO0002086,2023-06-26,CUST00492
SO0002087,2023-02-02,CUST00318
SO0002088,2025-07-27,CUST00108
SO0002089,2025-06-29,CUST00316
SO0002090,2023-05-07,CUST00275
SO0002091,2022-10-05,CUST00308
SO0002092,2021-06-25,CUST00429
SO0002093,2021-12-14,CUST00335
SO0002094,2022-10-10,CUST00500
SO0002095,2024-09-25,CUST00171
SO0002096,2023-08-13,CUST00500
SO0002097,2025-03-17,CUST00283
SO0002098,2022-09-12,CUST00445
SO0002099,2021-11-21,CUST00288
SO0002100,2025-11-12,CUST00465
SO0002101,2025-11-24,CUST00041
SO0002102,2025-05-26,CUST00071
SO0002103,2021-06-10,CUST00230
SO0002104,2022-06-13,CUST00276
SO0002105,2021-11-29,CUST00248
SO0002106,2024-02-21,CUST00388
SO0002107,2023-11-13,CUST00372
SO0002108,2024-11-23,CUST00471
SO0002109,2021-07-11,CUST00013
SO0002110,2021-11-18,CUST00387
SO0002111,2024-02-01,CUST00060
SO0002112,2022-02-02,CUST00261
SO0002113,2021-02-27,CUST00404
SO0002114,2025-03-06,CUST00346
SO0002115,2021-09-19,CUST00310
SO0002116,2024-08-20,CUST00057
SO0002117,2021-09-21,CUST00003
SO0002118,2021-11-03,CUST00166
SO0002119,2021-10-22,CUST00132
SO0002120,2024-08-12,CUST00145
SO0002121,2022-04-18,CUST00273
SO0002122,2024-08-05,CUST00270
SO0002123,2023-04-19,CUST00297
SO0002124,2025-10-23,CUST00336
SO0002125,2023-03-31,CUST00366
SO0002126,2023-10-15,CUST00008
SO0002127,2024-10-07,CUST00489
SO0002128,2025-06-22,CUST00332
SO0002129,2025-02-10,CUST00243
SO0002130,2022-06-20,CUST00112
SO0002131,2021-08-01,CUST00107
SO0002132,2024-03-14,CUST00152
SO0002133,2021-12-11,CUST00355
SO0002134,2025-05-12,CUST00254
SO0002135,2021-08-01,CUST00045
SO0002136,2021-07-25,CUST00407
SO0002137,2021-04-22,CUST00274
SO0002138,2025-12-19,CUST00080
SO0002139,2021-08-31,CUST00198
SO0002140,2023-04-19,CUST00477
SO0002141,2023-08-15,CUST00228
SO0002142,2025-01-18,CUST00114
SO0002143,2021-11-23,CUST00405
SO0002144,2021-06-23,CUST00461
SO0002145,2022-05-11,CUST00219
SO0002146,2025-10-16,CUST00385
SO0002147,2024-12-13,CUST00261
SO0002148,2022-08-08,CUST00218
SO0002149,2022-02-03,CUST00468
SO0002150,2023-05-16,CUST00498
SO0002151,2023-07-24,CUST00427
SO0002152,2024-02-16,CUST00275
SO0002153,2021-12-11,CUST00387
SO0002154,2022-03-16,CUST00359
SO0002155,2024-06-15,CUST00500
SO0002156,2025-12-01,CUST00368
SO0002157,2022-05-27,CUST00445
SO0002158,2024-07-26,CUST00092
SO0002159,2022-07-20,CUST00082
SO0002160,2025-12-21,CUST00333
SO0002161,2021-09-27,CUST00336
SO0002162,2025-04-21,CUST00222
SO0002163,2023-02-26,CUST00233
SO0002164,2024-02-28,CUST00205
SO0002165,2025-12-27,CUST00387
SO0002166,2023-03-16,CUST00030
SO0002167,2025-08-10,CUST00348
SO0002168,2025-10-01,CUST00411
SO0002169,2025-10-03,CUST00147
SO0002170,2022-12-24,CUST00069
SO0002171,2023-05-16,CUST00098
SO0002172,2021-11-29,CUST00380
SO0002173,2023-04-06,CUST00185
SO0002174,2021-01-15,CUST00481
SO0002175,2025-10-25,CUST00189
SO0002176,2025-02-13,CUST00079
SO0002177,2025-10-19,CUST00267
SO0002178,2023-04-09,CUST00471
SO0002179,2022-09-03,CUST00143
SO0002180,2023-09-06,CUST00130
SO0002181,2025-11-21,CUST00369
SO0002182,2024-09-28,CUST00282
SO0002183,2024-05-28,CUST00482
SO0002184,2023-09-02,CUST00078
SO0002185,2021-08-15,CUST00058
SO0002186,2025-10-10,CUST00036
SO0002187,2023-07-02,CUST00080
SO0002188,2025-09-02,CUST00115
SO0002189,2022-09-13,CUST00481
SO0002190,2022-11-07,CUST00051
SO0002191,2025-11-27,CUST00447
SO0002192,2021-09-19,CUST00271
SO0002193,2023-01-27,CUST00494
SO0002194,2021-10-31,CUST00185
SO0002195,2024-10-31,CUST00305
SO0002196,2024-11-13,CUST00277
SO0002197,2023-09-16,CUST00363
SO0002198,2022-07-03,CUST00392
SO0002199,2025-02-17,CUST00407
SO0002200,2022-03-06,CUST00108
SO0002201,2021-06-25,CUST00347
SO0002202,2024-08-18,CUST00270
SO0002203,2025-03-15,CUST00380
SO0002204,2024-05-11,CUST00093
SO0002205,2021-08-31,CUST00227
SO0002206,2023-10-14,CUST00299
SO0002207,2025-08-03,CUST00268
SO0002208,2021-03-05,CUST00414
SO0002209,2023-04-18,CUST00043
SO0002210,2024-04-21,CUST00469
SO0002211,2021-09-14,CUST00010
SO0002212,2021-08-18,CUST00223
SO0002213,2022-11-22,CUST00350
SO0002214,2022-12-28,CUST00392
SO0002215,2024-07-27,CUST00074
SO0002216,2024-02-17,CUST00264
SO0002217,2025-07-29,CUST00068
SO0002218,2022-09-07,CUST00225
SO0002219,2024-04-24,CUST00317
SO0002220,2024-08-11,CUST00063
SO0002221,2025-03-09,CUST00337
SO0002222,2025-09-22,CUST00284
SO0002223,2025-01-09,CUST00248
SO0002224,2021-09-29,CUST00415
SO0002225,2025-06-26,CUST00079
SO0002226,2023-05-24,CUST00346
SO0002227,2021-03-05,CUST00324
SO0002228,2021-04-19,CUST00282
SO0002229,2024-07-01,CUST00453
SO0002230,2024-03-31,CUST00428
SO0002231,2024-12-27,CUST00177
SO0002232,2024-02-20,CUST00386
SO0002233,2024-04-07,CUST00367
SO0002234,2024-07-14,CUST00277
SO0002235,2024-10-12,CUST00337
SO0002236,2022-05-21,CUST00438
SO0002237,2022-02-13,CUST00455
SO0002238,2022-09-14,CUST00277
SO0002239,2023-05-02,CUST00197
SO0002240,2023-09-01,CUST00011
SO0002241,2023-10-31,CUST00205
SO0002242,2023-10-04,CUST00291
SO0002243,2023-04-09,CUST00221
SO0002244,2024-01-07,CUST00134
SO0002245,2021-07-19,CUST00020
SO0002246,2023-10-30,CUST00042
SO0002247,2023-12-18,CUST00017
SO0002248,2021-04-06,CUST00487
SO0002249,2025-04-03,CUST00048
SO0002250,2023-10-29,CUST00225
SO0002251,2024-05-29,CUST00485
SO0002252,2022-01-02,CUST00414
SO0002253,2022-05-27,CUST00354
SO0002254,2022-02-09,CUST00183
SO0002255,2022-09-08,CUST00497
SO0002256,2024-10-12,CUST00175
SO0002257,2025-03-07,CUST00074
SO0002258,2023-06-06,CUST00500
SO0002259,2021-09-23,CUST00319
SO0002260,2025-12-25,CUST00352
SO0002261,2025-08-01,CUST00178
SO0002262,2025-09-06,CUST00195
SO0002263,2024-09-01,CUST00164
SO0002264,2023-05-14,CUST00089
SO0002265,2025-03-27,CUST00125
SO0002266,2024-10-23,CUST00245
SO0002267,2025-09-17,CUST00051
SO0002268,2023-08-20,CUST00467
SO0002269,2022-01-06,CUST00330
SO0002270,2022-11-30,CUST00344
SO0002271,2023-01-18,CUST00276
SO0002272,2022-03-28,CUST00229
SO0002273,2025-09-18,CUST00179
SO0002274,2021-01-29,CUST00265
SO0002275,2025-07-05,CUST00362
SO0002276,2021-07-04,CUST00461
SO0002277,2024-01-27,CUST00131
SO0002278,2023-09-01,CUST00102
SO0002279,2022-06-19,CUST00085
SO0002280,2021-01-28,CUST00228
SO0002281,2024-01-21,CUST00255
SO0002282,2023-06-21,CUST00018
SO0002283,2022-04-10,CUST00376
SO0002284,2021-11-07,CUST00197
SO0002285,2021-05-04,CUST00354
SO0002286,2021-02-11,CUST00073
SO0002287,2024-02-13,CUST00238
SO0002288,2021-06-04,CUST00427
SO0002289,2021-09-24,CUST00458
SO0002290,2025-10-23,CUST00230
SO0002291,2025-03-27,CUST00019
SO0002292,2023-08-03,CUST00331
SO0002293,2022-09-08,CUST00310
SO0002294,2025-06-16,CUST00212
SO0002295,2025-12-15,CUST00053
SO0002296,2022-12-14,CUST00108
SO0002297,2022-04-05,CUST00206
SO0002298,2023-05-20,CUST00213
SO0002299,2022-08-31,CUST00217
SO0002300,2025-03-07,CUST00234
SO0002301,2021-02-11,CUST00350
SO0002302,2023-11-15,CUST00129
SO0002303,2022-02-07,CUST00076
SO0002304,2022-03-26,CUST00376
SO0002305,2022-04-11,CUST00269
SO0002306,2021-11-01,CUST00024
SO0002307,2024-09-13,CUST00318
SO0002308,2024-12-25,CUST00280
SO0002309,2023-07-07,CUST00295
SO0002310,2025-08-06,CUST00289
SO0002311,2022-08-01,CUST00204
SO0002312,2024-09-18,CUST00258
SO0002313,2024-12-19,CUST00369
SO0002314,2024-05-02,CUST00088
SO0002315,2022-06-19,CUST00099
SO0002316,2025-10-03,CUST00206
SO0002317,2024-01-13,CUST00107
SO0002318,2022-05-30,CUST00493
SO0002319,2021-07-30,CUST00421
SO0002320,2021-05-18,CUST00149
SO0002321,2025-07-09,CUST00169
SO0002322,2023-01-21,CUST00231
SO0002323,2021-05-25,CUST00215
SO0002324,2025-10-10,CUST00041
SO0002325,2022-01-18,CUST00495
SO0002326,2021-04-15,CUST00155
SO0002327,2025-03-09,CUST00213
SO0002328,2023-04-23,CUST00107
SO0002329,2023-10-04,CUST00175
SO0002330,2023-11-19,CUST00009
SO0002331,2021-11-30,CUST00084
SO0002332,2022-10-27,CUST00427
SO0002333,2022-03-23,CUST00236
SO0002334,2022-02-06,CUST00401
SO0002335,2021-05-30,CUST00003
SO0002336,2021-10-10,CUST00132
SO0002337,2025-12-11,CUST00199
SO0002338,2023-06-20,CUST00054
SO0002339,2025-10-03,CUST00022
SO0002340,2025-02-28,CUST00289
SO0002341,2022-09-21,CUST00154
SO0002342,2025-10-22,CUST00101
SO0002343,2023-05-08,CUST00404
SO0002344,2023-03-07,CUST00090
SO0002345,2023-05-04,CUST00249
SO0002346,2022-03-05,CUST00334
SO0002347,2025-01-10,CUST00408
SO0002348,2023-10-20,CUST00488
SO0002349,2023-04-10,CUST00494
SO0002350,2023-05-19,CUST00480
SO0002351,2023-08-19,CUST00434
SO0002352,2023-10-04,CUST00159
SO0002353,2024-08-10,CUST00082
SO0002354,2024-05-08,CUST00399
SO0002355,2025-12-09,CUST00434
SO0002356,2022-05-24,CUST00390
SO0002357,2022-04-26,CUST00387
SO0002358,2025-01-25,CUST00115
SO0002359,2023-01-12,CUST00200
SO0002360,2025-06-13,CUST00322
SO0002361,2021-03-11,CUST00238
SO0002362,2021-07-24,CUST00076
SO0002363,2024-01-25,CUST00469
SO0002364,2024-06-20,CUST00273
SO0002365,2025-07-26,CUST00468
SO0002366,2023-12-24,CUST00033
SO0002367,2021-08-12,CUST00109
SO0002368,2022-07-04,CUST00151
SO0002369,2023-03-25,CUST00484
SO0002370,2023-05-03,CUST00117
SO0002371,2023-06-21,CUST00275
SO0002372,2021-07-04,CUST00243
SO0002373,2025-04-03,CUST00464
SO0002374,2024-04-12,CUST00139
SO0002375,2024-03-08,CUST00390
SO0002376,2025-07-17,CUST00163
SO0002377,2021-11-12,CUST00367
SO0002378,2021-01-12,CUST00273
SO0002379,2023-05-28,CUST00063
SO0002380,2021-07-11,CUST00296
SO0002381,2025-07-01,CUST00335
SO0002382,2022-12-11,CUST00203
SO0002383,2024-07-04,CUST00372
SO0002384,2024-04-22,CUST00329
SO0002385,2025-01-23,CUST00470
SO0002386,2022-10-26,CUST00409
SO0002387,2025-09-04,CUST00155
SO0002388,2024-08-12,CUST00103
SO0002389,2024-12-07,CUST00282
SO0002390,2025-07-26,CUST00433
SO0002391,2022-02-02,CUST00485
SO0002392,2025-06-10,CUST00344
SO0002393,2021-12-30,CUST00204
SO0002394,2021-03-16,CUST00100
SO0002395,2025-08-31,CUST00074
SO0002396,2023-06-05,CUST00083
SO0002397,2023-11-11,CUST00022
SO0002398,2021-04-13,CUST00053
SO0002399,2022-08-06,CUST00357
SO0002400,2023-05-27,CUST00433
SO0002401,2025-10-05,CUST00411
SO0002402,2025-03-13,CUST00326
SO0002403,2025-02-10,CUST00073
SO0002404,2022-03-27,CUST00245
SO0002405,2024-07-11,CUST00135
SO0002406,2025-01-27,CUST00342
SO0002407,2022-01-17,CUST00194
SO0002408,2023-10-14,CUST00154
SO0002409,2024-12-06,CUST00287
SO0002410,2025-02-04,CUST00022
SO0002411,2021-10-25,CUST00460
SO0002412,2021-03-15,CUST00187
SO0002413,2024-06-19,CUST00467
SO0002414,2022-06-10,CUST00076
SO0002415,2022-05-15,CUST00278
SO0002416,2024-08-14,CUST00309
SO0002417,2021-08-12,CUST00340
SO0002418,2021-07-19,CUST00482
SO0002419,2022-05-21,CUST00458
SO0002420,2022-02-05,CUST00133
SO0002421,2023-08-31,CUST00409
SO0002422,2024-08-06,CUST00339
SO0002423,2023-09-05,CUST00440
SO0002424,2023-05-18,CUST00479
SO0002425,2021-09-18,CUST00376
SO0002426,2022-04-10,CUST00342
SO0002427,2024-09-14,CUST00301
SO0002428,2023-08-29,CUST00373
SO0002429,2022-01-19,CUST00110
SO0002430,2022-10-27,CUST00141
SO0002431,2024-07-18,CUST00294
SO0002432,2022-09-10,CUST00031
SO0002433,2024-04-10,CUST00287
SO0002434,2024-12-18,CUST00185
SO0002435,2023-09-22,CUST00430
SO0002436,2023-04-30,CUST00319
SO0002437,2022-08-05,CUST00273
SO0002438,2022-02-05,CUST00356
SO0002439,2024-10-25,CUST00452
SO0002440,2023-11-25,CUST00103
SO0002441,2023-11-18,CUST00274
SO0002442,2022-12-08,CUST00093
SO0002443,2025-07-08,CUST00125
SO0002444,2021-08-31,CUST00498
SO0002445,2023-05-15,CUST00472
SO0002446,2024-09-04,CUST00024
SO0002447,2025-01-23,CUST00345
SO0002448,2022-07-12,CUST00497
SO0002449,2025-12-04,CUST00129
SO0002450,2022-09-19,CUST00093
SO0002451,2023-03-30,CUST00163
SO0002452,2021-06-04,CUST00169
SO0002453,2022-10-14,CUST00408
SO0002454,2021-07-03,CUST00207
SO0002455,2025-10-25,CUST00168
SO0002456,2023-02-27,CUST00195
SO0002457,2022-07-17,CUST00446
SO0002458,2024-12-03,CUST00144
SO0002459,2021-10-14,CUST00329
SO0002460,2024-12-22,CUST00019
SO0002461,2025-03-31,CUST00111
SO0002462,2023-09-06,CUST00137
SO0002463,2022-04-07,CUST00302
SO0002464,2024-03-29,CUST00279
SO0002465,2024-02-08,CUST00194
SO0002466,2025-12-31,CUST00024
SO0002467,2025-06-19,CUST00172
SO0002468,2023-06-08,CUST00258
SO0002469,2021-07-29,CUST00126
SO0002470,2024-11-26,CUST00356
SO0002471,2025-04-10,CUST00387
SO0002472,2021-11-23,CUST00482
SO0002473,2022-11-20,CUST00270
SO0002474,2024-01-25,CUST00186
SO0002475,2025-10-01,CUST00163
SO0002476,2022-03-22,CUST00448
SO0002477,2023-12-12,CUST00288
SO0002478,2025-06-20,CUST00353
SO0002479,2024-06-02,CUST00410
